Summary by Sample
Dataset Name:, C:\Elandata\DataSet\1404-06-04
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Sb121,2.29e+004,,,cps,2.e-002,,,ppm
Sn118,2.27e+004,,,cps,2.08e-002,,,ppm
W184,2.09e+004,,,cps,1.75e-002,,,ppm
Zr90,3.39e+004,,,cps,1.99e-002,,,ppm
As75,1.1e+004,,,cps,4.57e-002,,,ppm
V51,-1.06e+004,,,cps,-8.14e-003,,,ppm
Cr52,4.62e+003,,,cps,3.03e-003,,,ppm
Ni60,8.71e+003,,,cps,1.86e-002,,,ppm
Cu63,8.1e+003,,,cps,7.48e-003,,,ppm
Zn66,1.48e+004,,,cps,4.36e-002,,,ppm
Th232,117,,,cps,3.49e-005,,,ppm
